patid,frame,Length(sec),Midpoint(sec),occip,L_caudate,R_caudate,L_ant_putamen,R_ant_putamen,L_pos_putamen,R_pos_putamen,L_thalamus,R_thalamus,L_pallidum,R_pallidum,L_VDC,R_VDC
mars_11022,1,60.00,50.97,1657.1147,1194.0077,1286.3712,1210.9060,1555.9059,1613.4154,1564.0228,1851.8956,2066.1336,1499.5169,1507.4717,1980.3188,2086.3753
mars_11022,2,60.00,110.97,3448.1729,3043.6807,2739.2612,3434.3956,3572.1346,3433.7518,3956.4470,3601.1891,4104.5708,3348.2702,3874.3904,3541.8454,3917.4872
mars_11022,3,60.00,170.97,3793.8406,2786.3183,2891.1644,3961.9052,4104.3431,3917.1463,4595.2335,4065.7439,4284.0419,3738.7415,4378.0356,3940.8247,3922.4340
mars_11022,4,120.00,260.97,4245.0659,3327.1420,3495.6703,4258.5581,4343.2089,4477.7574,5107.7967,4148.3421,4225.9322,3943.4347,5015.2185,4039.3709,3709.1914
mars_11022,5,120.00,380.97,4474.0862,3838.3893,3760.3925,5122.2763,4820.5065,5004.4488,5539.9541,4317.1304,4801.4727,4820.0414,5155.1134,4586.4177,4232.9677
mars_11022,6,120.00,500.97,4840.3285,4092.2262,4140.7818,5381.1196,5212.3796,5382.9253,6192.2802,4816.2438,5049.2485,4894.7972,5899.2882,4566.7207,4474.6421
mars_11022,7,120.00,620.97,4934.9613,4478.6524,4322.4591,5599.2782,5665.8816,5619.2071,6328.7558,4866.9201,5381.6431,5106.9650,5845.4613,4573.8076,4650.7490
mars_11022,8,180.00,770.97,5025.7306,4676.6534,4723.5508,5959.7767,6179.0075,5974.6873,6432.9078,4925.8677,5577.1648,5515.1593,6339.2078,4610.9871,4745.9720
mars_11022,9,180.00,950.97,5163.0343,4936.3594,4794.9220,6400.0404,6347.4338,6246.2389,6778.8577,5155.1717,5678.2965,5832.9198,6432.2683,4899.8913,4677.9475
mars_11022,10,180.00,1130.97,5155.6980,5002.8209,5204.8810,6476.5263,6767.0389,6366.7349,6801.0689,5236.8542,5788.3967,6267.8920,6801.5554,5123.1294,4920.7093
mars_11022,11,300.00,1370.97,5028.9715,5440.7821,5361.9382,6997.4851,6842.5286,6624.5697,7243.8134,5293.9470,5623.8292,6412.0785,6815.8163,5076.8996,4868.1503
mars_11022,12,300.00,1670.97,4959.4891,5702.6404,5697.6904,7130.6610,7195.8040,6905.4461,7405.4871,5218.9781,5793.0245,6856.4968,7283.8836,5174.1436,4979.8086
mars_11022,13,300.00,1970.97,4776.4264,5836.4219,5922.6026,7257.3331,7417.2008,7058.7453,7443.7135,5024.6546,5739.0509,6695.4113,7303.6933,5009.5891,4880.8082
mars_11022,14,300.00,2270.97,4650.6043,6043.0966,5970.5647,7591.9678,7360.7185,7136.4688,7595.1292,5142.8983,5412.1403,6886.9861,7281.1358,5057.7151,4914.0660
mars_11022,15,300.00,2570.97,4486.1328,6095.7006,5881.2602,7726.7783,7508.2812,6967.6669,7583.5090,4946.7382,5286.2771,6605.1947,7069.0300,4886.3393,4767.5028
mars_11022,16,300.00,2870.97,4254.3135,6095.2772,5989.7500,7487.9743,7586.2083,6887.0312,7544.2444,4660.7135,5183.0080,6633.0850,7130.8515,4883.7218,4672.8579
mars_11022,17,300.00,3170.97,4068.2123,6050.9523,6210.2153,7450.1004,7607.1450,6982.5634,7506.7070,4510.4998,4942.7837,6663.1795,7204.5897,4722.0507,4636.1756
mars_11022,18,300.00,3470.97,3911.6933,6036.2050,6131.5260,7745.8011,7494.8005,6958.4425,7702.0403,4527.7137,4797.6486,6740.1048,7104.4016,4777.4797,4522.1743
mars_11022,19,300.00,3770.97,3862.4191,5945.3051,6097.7150,7700.3201,7491.1660,6870.5648,7514.2322,4295.9238,4701.0503,6425.0208,7113.1426,4590.0575,4507.7772
mars_11022,20,300.00,4070.97,3691.4750,6047.4750,5977.5784,7546.5711,7527.5460,6857.8085,7253.5969,4353.5081,4510.2150,6504.4660,7081.2428,4558.2190,4428.1567
mars_11022,21,300.00,4370.97,3579.1726,5795.1128,6009.7527,7307.0147,7366.1460,6694.0132,7357.4375,4172.1317,4424.1733,6676.8526,6799.0853,4460.9097,4261.9103
mars_11022,22,300.00,4670.97,3416.0290,5878.0232,5981.2269,7304.9580,7316.7880,6688.4306,7304.9734,4032.9312,4164.2244,6514.5954,6723.1146,4177.7694,4230.1314
mars_11022,23,300.00,4970.97,3376.8128,5781.4215,5871.0807,7157.5496,7301.8044,6584.0672,7160.1449,3941.7679,4094.0895,6090.3933,6684.8242,4151.3700,4178.8155
mars_11022,24,300.00,5270.97,3199.4304,5824.3658,5881.4420,7372.9799,7163.4769,6566.5239,6985.7698,3632.6790,4016.1016,6425.3916,6566.2074,4310.5514,3975.4077
mars_11022,25,300.00,5570.97,3122.1930,5683.7923,5697.2166,7230.5903,7181.9871,6440.9274,7036.6232,3661.8222,3813.3065,6120.4120,6608.4836,4102.6268,3902.9427
