patid,frame,Length(sec),Midpoint(sec),occip,L_caudate,R_caudate,L_ant_putamen,R_ant_putamen,L_pos_putamen,R_pos_putamen,L_thalamus,R_thalamus,L_pallidum,R_pallidum,L_VDC,R_VDC
mars_10798,1,60.00,173.27,1426.0434,1605.2007,1139.7551,1536.5932,1396.7032,1631.8025,1533.6397,1542.1016,1744.3263,1558.8084,1375.0069,1529.8207,1429.3323
mars_10798,2,60.00,233.27,1644.2340,1573.5746,1451.0071,1719.7154,1784.0609,1717.7780,1910.2661,1965.9258,1989.2375,1984.5226,1645.4415,1739.1256,1689.0294
mars_10798,3,60.00,293.27,1891.3643,1825.1483,1648.4169,2062.6677,2081.5615,2026.8983,2041.1077,2397.5050,2073.8441,1951.0966,1958.1057,1923.4978,1971.7140
mars_10798,4,120.00,383.27,2056.4234,2298.2557,1884.7415,2347.2964,2321.6633,2501.7469,2537.6226,2356.2769,2467.2647,2659.0477,2376.7278,2074.3267,2011.2021
mars_10798,5,120.00,503.27,2325.7732,2262.5905,2156.4699,2723.4816,2757.1232,2718.8004,3057.4576,2649.3745,2619.0688,2518.6170,2935.7029,2413.0983,2060.8672
mars_10798,6,120.00,623.27,2460.1565,2654.4560,2332.5364,2904.4569,2871.0396,3044.5207,3437.9190,2707.0673,2696.1980,2972.0054,2894.8025,2339.9320,2253.3526
mars_10798,7,120.00,743.27,2509.4751,2779.8446,2325.4465,3041.6584,3192.3952,3226.6469,3481.2738,2901.4300,3009.0888,3000.3494,3136.7645,2414.9107,2381.9799
mars_10798,8,180.00,893.27,2595.9925,2926.3179,2427.1794,3531.7949,3368.8703,3514.4026,3840.3507,3102.3067,2954.8736,3391.3071,3295.4459,2536.6702,2545.9012
mars_10798,9,180.00,1073.27,2673.8733,3095.6352,2676.1294,3611.1706,3590.9916,3716.8106,3916.5564,3138.7077,3126.6984,3829.2719,3494.8522,2568.7767,2647.8912
mars_10798,10,180.00,1253.27,2677.0333,3243.0416,2731.8913,3624.9219,3757.0584,3881.2149,4144.4886,3097.9269,2970.3647,3837.9066,3550.0911,2589.9579,2716.0160
mars_10798,11,300.00,1493.27,2693.9041,3466.2767,2948.0920,3757.0763,3866.0389,3908.6843,4339.4446,3225.3565,3087.7615,3829.5084,3650.3075,2674.4501,2576.0036
mars_10798,12,300.00,1793.27,2690.2837,3685.0510,3205.2525,3948.6358,4087.1283,3981.5622,4434.3569,3125.1424,3052.1492,3986.3580,3975.5703,2649.3848,2630.2782
mars_10798,13,300.00,2093.27,2563.6935,3823.7038,3270.7148,4031.0350,4081.4056,4129.5025,4481.0055,3040.5933,3010.6740,3927.8253,3954.5687,2635.1391,2639.0392
mars_10798,14,300.00,2393.27,2561.3506,3681.2239,3363.9140,4232.1415,4244.0056,4090.8444,4513.5836,2985.1325,3027.8221,4113.4740,4140.9802,2658.6814,2730.0930
mars_10798,15,300.00,2693.27,2458.2829,3795.9382,3301.5560,4105.8507,4241.1886,4130.3235,4547.2868,2964.3608,2858.6907,4023.8220,4024.5321,2658.7592,2592.5795
mars_10798,16,300.00,2993.27,2366.2684,3840.0651,3432.4545,4157.7805,4366.6599,4192.8938,4486.1474,2915.0162,2813.0763,4187.8637,4158.1346,2554.4846,2414.2696
mars_10798,17,300.00,3293.27,2292.0825,3864.4755,3460.1602,4259.4455,4434.4055,4051.9825,4457.6948,2895.5212,2768.5142,4169.7155,4025.5165,2560.9394,2430.1703
mars_10798,18,300.00,3593.27,2242.6319,3685.2478,3429.9038,4276.2053,4347.6096,4201.7519,4417.0910,2676.8723,2669.1616,4197.7683,4051.9369,2519.5423,2416.0900
mars_10798,19,300.00,3893.27,2113.8580,3938.5274,3447.9905,4122.8973,4354.9345,4141.0705,4390.1723,2670.2269,2517.3842,4132.8678,3897.6926,2516.4027,2389.6610
mars_10798,20,300.00,4193.27,2092.9597,3902.2688,3503.5797,4120.3980,4245.9149,4005.3167,4340.8259,2521.4730,2581.2138,4129.9990,3944.5905,2406.2996,2384.3855
mars_10798,21,300.00,4493.27,1986.9179,3792.6431,3362.3503,4153.6230,4307.5862,4166.9544,4403.5333,2523.2504,2456.2146,4043.3275,4092.5400,2431.9509,2301.4423
mars_10798,22,300.00,4793.27,1988.3090,3853.8897,3351.4753,4151.5981,4144.1435,4134.1141,4366.0286,2495.2292,2489.4822,4241.8138,3760.4802,2331.4589,2345.7663
mars_10798,23,300.00,5093.27,1909.7625,3759.9673,3472.7831,4084.3433,4286.4916,4081.6385,4392.6261,2449.4076,2330.6265,4156.9078,3964.5820,2200.8535,2205.4030
mars_10798,24,300.00,5393.27,1840.0932,3854.5562,3381.9902,4039.0095,4135.3999,4017.2571,4126.4331,2401.8117,2335.6036,3961.5812,3849.4886,2270.6105,2126.6387
mars_10798,25,300.00,5693.27,1829.7840,3760.6364,3431.0818,4127.6371,4199.2543,3943.0056,4280.1823,2427.2691,2176.7140,4149.0417,3787.5622,2223.0308,2165.9234
